



<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
                          Lo¿a Szyderców and Company                          
                                 PRZEDSTAWIA                                  
                 Transformacja wielomianowa trzeciego stopnia                 
Wykonali:
in¿. Damian Ozga
in¿. Kamil Olko
                                   AGH 2020                                   
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
*******************************************************************************
                              PUNKTY DOSTOSOWANIE                              
*******************************************************************************

Nr     X_pier[pix]  Y_pier[pix]  X_wt[mm]     Y_wt[mm]     Vx[mm]    Vy[mm]   
11_2   222.00       379.00       20.00        100.00       0.089     0.013    
11_1   166.00       375.00       0.00         100.00       -0.122    0.017    
12_9   652.00       406.00       160.00       110.00       0.292     -0.119   
12_8   599.00       412.00       140.00       110.00       0.226     0.075    
12_7   541.00       419.00       120.00       110.00       0.198     0.846    
12_6   478.00       420.00       100.00       110.00       -0.102    0.204    
12_5   413.00       420.00       80.00        110.00       -0.040    -0.102   
12_4   348.00       418.00       60.00        110.00       0.225     -0.364   
12_3   284.00       417.00       40.00        110.00       0.179     0.249    
12_2   223.00       412.00       20.00        110.00       -0.169    0.056    
12_1   168.00       408.00       0.00         110.00       -0.178    0.341    

*******************************************************************************
                 PORÓWNANIE WSPÓ£RZÊDNYCH PUNKTÓW DOSTOSOWANIA                 
                   PO PRZEPROWADZONYM PROCESIE TRANSFORMACJI                   
*******************************************************************************

Nr     X_wt[mm]     Y_wt[mm]     X_wt_tr[mm]  Y_wt_tr[mm]  Vx[mm]    Vy[mm]   
1_9    160.00       0.00         159.30       0.28         -0.703    0.278    
1_8    140.00       0.00         139.95       -0.04        -0.047    -0.043   
1_7    120.00       0.00         120.57       0.13         0.565     0.134    
1_6    100.00       0.00         100.41       -0.05        0.406     -0.053   
1_5    80.00        0.00         80.44        0.40         0.439     0.403    
1_4    60.00        0.00         60.08        -0.03        0.085     -0.032   
1_3    40.00        0.00         39.99        0.29         -0.006    0.289    
1_2    20.00        0.00         19.89        0.13         -0.112    0.129    
1_1    0.00         0.00         0.23         0.44         0.234     0.442    
2_9    160.00       10.00        159.73       9.94         -0.271    -0.057   
2_8    140.00       10.00        140.05       10.16        0.049     0.157    
2_7    120.00       10.00        119.87       9.93         -0.127    -0.066   
2_6    100.00       10.00        99.74        9.65         -0.262    -0.347   
2_5    80.00        10.00        79.84        9.70         -0.158    -0.299   
2_4    60.00        10.00        59.89        9.92         -0.113    -0.084   
2_3    40.00        10.00        39.81        10.25        -0.186    0.251    
2_2    20.00        10.00        19.93        9.87         -0.067    -0.134   
2_1    0.00         10.00        0.02         9.93         0.017     -0.072   
3_9    160.00       20.00        160.24       19.92        0.235     -0.076   
3_8    140.00       20.00        140.27       19.91        0.270     -0.086   
3_7    120.00       20.00        120.22       20.44        0.216     0.441    
3_6    100.00       20.00        99.73        19.76        -0.266    -0.236   
3_5    80.00        20.00        79.88        20.06        -0.117    0.059    
3_4    60.00        20.00        59.62        18.43        -0.385    -1.573   
3_3    40.00        20.00        39.23        19.71        -0.773    -0.294   
3_2    20.00        20.00        20.26        19.82        0.260     -0.182   
3_1    0.00         20.00        0.14         20.04        0.138     0.044    
4_9    160.00       30.00        160.08       29.97        0.084     -0.035   
4_8    140.00       30.00        139.85       29.98        -0.151    -0.017   
4_7    120.00       30.00        120.02       29.93        0.024     -0.074   
4_6    100.00       30.00        99.77        29.69        -0.227    -0.312   
4_5    80.00        30.00        80.23        30.47        0.225     0.468    
4_4    60.00        30.00        60.05        30.11        0.045     0.107    
4_3    40.00        30.00        39.93        30.28        -0.072    0.281    
4_2    20.00        30.00        20.11        29.63        0.111     -0.374   
4_1    0.00         30.00        0.08         30.08        0.084     0.081    
5_9    160.00       40.00        160.12       40.02        0.123     0.023    
5_8    140.00       40.00        140.33       39.66        0.333     -0.340   
5_7    120.00       40.00        120.24       39.92        0.243     -0.080   
5_6    100.00       40.00        99.87        39.49        -0.130    -0.512   
5_5    80.00        40.00        80.27        40.42        0.266     0.421    
5_4    60.00        40.00        59.76        40.37        -0.239    0.367    
5_3    40.00        40.00        40.15        40.10        0.150     0.103    
5_2    20.00        40.00        19.85        39.96        -0.148    -0.042   
5_1    0.00         40.00        -0.22        39.50        -0.216    -0.504   
6_9    160.00       50.00        160.00       49.88        -0.003    -0.125   
6_8    140.00       50.00        139.88       50.03        -0.122    0.034    
6_7    120.00       50.00        120.25       50.48        0.254     0.485    
6_6    100.00       50.00        100.02       50.62        0.025     0.617    
6_5    80.00        50.00        80.02        50.04        0.021     0.039    
6_4    60.00        50.00        60.01        50.27        0.008     0.269    
6_3    40.00        50.00        40.27        50.44        0.268     0.439    
6_2    20.00        50.00        20.04        49.44        0.045     -0.556   
6_1    0.00         50.00        0.10         50.20        0.102     0.204    
7_9    160.00       60.00        160.11       59.89        0.112     -0.113   
7_8    140.00       60.00        140.02       59.91        0.023     -0.085   
7_7    120.00       60.00        119.80       59.74        -0.200    -0.262   
7_6    100.00       60.00        99.69        59.88        -0.314    -0.123   
7_5    80.00        60.00        80.09        60.23        0.094     0.234    
7_4    60.00        60.00        60.19        60.21        0.189     0.211    
7_3    40.00        60.00        39.91        60.28        -0.086    0.278    
7_2    20.00        60.00        20.09        60.43        0.091     0.432    
7_1    0.00         60.00        0.10         59.85        0.103     -0.152   
8_9    160.00       70.00        160.10       70.15        0.100     0.149    
8_8    140.00       70.00        140.04       70.03        0.038     0.026    
8_7    120.00       70.00        119.84       70.30        -0.155    0.296    
8_6    100.00       70.00        100.06       70.40        0.064     0.396    
8_5    80.00        70.00        79.90        70.07        -0.105    0.070    
8_4    60.00        70.00        60.01        70.06        0.007     0.063    
