1_9	644	58
1_8	594	50
1_7	540	44
1_6	480	38
1_5	418	36
1_4	354	34
1_3	292	37
1_2	233	41
1_1	179	48
2_9	648	86
2_8	597	80
2_7	540	73
2_6	479	67
2_5	416	64
2_4	352	64
2_3	289	67
2_2	230	70
2_1	175	76
3_9	652	116
3_8	600	110
3_7	543	106
3_6	480	99
3_5	416	97
3_4	350	91
3_3	285	97
3_2	228	101
3_1	172	107
4_9	654	147
4_8	601	142
4_7	544	137
4_6	481	132
4_5	417	132
4_4	350	130
4_3	285	132
4_2	225	133
4_1	169	139
5_9	656	179
5_8	604	174
5_7	546	171
5_6	482	166
5_5	417	167
5_4	348	166
5_3	284	166
5_2	222	168
5_1	166	170
6_9	657	211
6_8	604	209
6_7	547	208
6_6	483	206
6_5	416	202
6_4	348	202
6_3	283	203
6_2	221	201
6_1	165	206
7_9	658	244
7_8	605	243
7_7	546	241
7_6	482	240
7_5	416	240
7_4	348	239
7_3	281	239
7_2	220	240
7_1	164	239
8_9	658	278
8_8	605	278
8_7	546	279
8_6	483	279
8_5	415	277
8_4	347	276
8_3	281	277
8_2	219	274
8_1	163	274
9_9	657	311
9_8	604	313
9_7	546	312
9_6	482	314
9_5	416	313
9_4	347	312
9_3	282	312
9_2	219	310
9_1	164	308
10_9	655	344
10_8	603	346
10_7	544	348
10_6	480	350
10_5	415	350
10_4	347	349
10_3	281	346
10_2	220	345
10_1	165	341
11_9	654	374
11_8	600	380
11_7	542	383
11_6	479	385
11_5	414	386
11_4	347	385
11_3	283	382
11_2	222	379
11_1	166	375
12_9	652	406
12_8	599	412
12_7	541	419
12_6	478	420
12_5	413	420
12_4	348	418
12_3	284	417
12_2	223	412
12_1	168	408
